,count,avg_char_length,median_char_length,avg_word_count,median_word_count,has_uppercase,has_numbers,has_special_chars,has_urls,has_emails,uppercase_ratio,numbers_ratio,special_chars_ratio,urls_ratio,emails_ratio
spam,1677.0,1277.6654740608228,401.0,230.74776386404292,79.0,1353.0,278.0,1355.0,437.0,191.0,0.8067978533094812,0.1657722122838402,0.8079904591532499,0.26058437686344665,0.1138938580799046
not_spam,3500.0,1290.9265714285714,478.0,212.506,80.5,2612.0,623.0,2996.0,102.0,680.0,0.7462857142857143,0.178,0.856,0.029142857142857144,0.19428571428571428
